title,url,points,author,comments
I made my VM think it has a CPU fan,https://wbenny.github.io/2025/06/29/i-made-my-vm-think-it-has-a-cpu-fan.html,38,todsacerdoti,3 comments
"Show HN: Octelium – FOSS Alternative to Teleport, Cloudflare, Tailscale, Ngrok",https://github.com/octelium/octelium,75,geoctl,29 comments
Using the Internet without IPv4 connectivity,https://jamesmcm.github.io/blog/no-ipv4/,167,jmillikin,59 comments
Bloom Filters by Example,https://llimllib.github.io/bloomfilter-tutorial/,32,ibobev,4 comments
The Unsustainability of Moore's Law,https://bzolang.blog/p/the-unsustainability-of-moores-law,81,shadyboi,47 comments
Performance Debugging with LLVM-mca: Simulating the CPU,https://johnnysswlab.com/performance-debugging-with-llvm-mca-simulating-the-cpu/,4,signa11,1 comment
More on Apple's Trust-Eroding 'F1 the Movie' Wallet Ad,https://daringfireball.net/2025/06/more_on_apples_trust-eroding_f1_the_movie_wallet_ad,394,dotcoma,224 comments
MCP: An (Accidentally) Universal Plugin System,https://worksonmymachine.substack.com/p/mcp-an-accidentally-universal-plugin,658,Stwerner,295 comments
Sequence and first differences together list all positive numbers exactly once,https://oeis.org/A005228,43,andersource,14 comments
What UI first distinguished radio buttons from checkboxes with circles/squares?,https://retrocomputing.stackexchange.com/questions/31806/what-ui-first-distinguished-radio-buttons-from-checkboxes-with-circles-and-squar,40,azeemba,27 comments
Solving `Passport Application` with Haskell,https://jameshaydon.github.io/passport/,222,jameshh,86 comments
How to Leave the House,https://buttondown.com/monteiro/archive/how-to-leave-the-house/,36,zdw,34 comments
Show HN: A different kind of AI Video generation,item?id=44383086,23,fcpguru,7 comments
Implementing fast TCP fingerprinting with eBPF,https://halb.it/posts/ebpf-fingerprinting-1/,12,halb,1 comment
The Death of the Middle-Class Musician,https://thewalrus.ca/the-death-of-the-middle-class-musician/,186,pseudolus,391 comments
Show HN: SmartStepper – Multi-Step Form Library with Config-Based Flow,https://github.com/Miladxsar23/smartstepper,4,milad_shirian,1 comment
Engineered Addictions,https://masonyarbrough.substack.com/p/engineered-addictions,587,echollama,356 comments
Improving River Simulation,https://undiscoveredworlds.blogspot.com/2025/04/improving-river-simulation.html,38,Hooke,0 comments
We ran a Unix-like OS on our home-built CPU with a home-built C compiler (2020),https://fuel.edby.coffee/posts/how-we-ported-xv6-os-to-a-home-built-cpu-with-a-home-built-c-compiler/,278,AlexeyBrin,27 comments
Schizophrenia is the price we pay for minds poised near the edge of a cliff,https://www.psychiatrymargins.com/p/schizophrenia-is-the-price-we-pay,126,Anon84,175 comments
BusyBeaver(6) Is Quite Large,https://scottaaronson.blog/?p=8972,240,bdr,166 comments
JavaScript Trademark Update,https://deno.com/blog/deno-v-oracle4,801,thebeardisred,281 comments
What LLMs Know About Their Users,https://www.schneier.com/,7,voxleone,2 comments
"Magnetic Tape Storage Technology: usage, history, and future outlook",https://dl.acm.org/doi/10.1145/3708997,23,matt_d,3 comments
Life of an inference request (vLLM V1): How LLMs are served efficiently at scale,https://www.ubicloud.com/blog/life-of-an-inference-request-vllm-v1,154,samaysharma,17 comments
2025 ARRL Field Day,https://www.arrl.org/field-day,114,rookderby,34 comments
Community Is Motivation on Tap,https://alanwu.xyz/posts/community/,87,lunw,33 comments
An Indoor Beehive in My Bedroom Wall,https://www.keepingbackyardbees.com/an-indoor-beehive-zbwz1810zsau/,133,gscott,62 comments
Abusing copyright strings to trick SW into thinking it's running competitor's PC,https://devblogs.microsoft.com/oldnewthing/20250624-00/?p=111299,53,mastazi,10 comments
Is being bilingual good for your brain?,https://www.economist.com/science-and-technology/2025/06/27/is-being-bilingual-good-for-your-brain,111,Anon84,133 comments
